date,hour,price_uah_mwh,zone
2026-03-01,1,3240.50,OES
2026-03-01,2,3110.00,OES
2026-03-01,3,2980.20,OES
2026-03-01,4,2950.00,OES
2026-03-01,5,3050.80,OES
2026-03-01,6,3420.00,OES
2026-03-01,7,4580.60,OES
2026-03-01,8,5420.00,OES
2026-03-01,9,5680.40,OES
2026-03-01,10,5350.00,OES
2026-03-01,11,4890.10,OES
2026-03-01,12,4600.00,OES
2026-03-01,13,4450.50,OES
2026-03-01,14,4520.00,OES
2026-03-01,15,4810.30,OES
2026-03-01,16,5150.00,OES
2026-03-01,17,5890.70,OES
2026-03-01,18,6750.00,OES
2026-03-01,19,7120.50,OES
2026-03-01,20,6890.00,OES
2026-03-01,21,6150.20,OES
2026-03-01,22,5100.00,OES
2026-03-01,23,4200.40,OES
2026-03-01,24,3600.00,OES
2026-03-02,1,3310.00,OES
2026-03-02,2,3150.20,OES
2026-03-02,3,3020.00,OES
2026-03-02,4,2990.50,OES
2026-03-02,5,3120.00,OES
2026-03-02,6,3550.40,OES
2026-03-02,7,4720.00,OES
2026-03-02,8,5610.80,OES
2026-03-02,9,5840.00,OES
2026-03-02,10,5490.20,OES
2026-03-02,11,4950.00,OES
2026-03-02,12,4710.60,OES
2026-03-02,13,4520.00,OES
2026-03-02,14,4610.30,OES
2026-03-02,15,4920.00,OES
2026-03-02,16,5280.50,OES
2026-03-02,17,6050.00,OES
2026-03-02,18,6920.80,OES
2026-03-02,19,7280.00,OES
2026-03-02,20,7010.40,OES
2026-03-02,21,6300.00,OES
2026-03-02,22,5250.70,OES
2026-03-02,23,4310.00,OES
2026-03-02,24,3720.50,OES
