date,hour,price_uah_mwh,zone
2026-09-01,1,7500.0,OES
2026-09-01,2,6130.0,OES
2026-09-01,3,5000.0,OES
2026-09-01,4,4501.0,OES
2026-09-01,5,3988.57,OES
2026-09-01,6,5470.0,OES
2026-09-01,7,6300.0,OES
2026-09-01,8,7000.0,OES
2026-09-01,9,6000.0,OES
2026-09-01,10,4000.0,OES
2026-09-01,11,10.0,OES
2026-09-01,12,10.0,OES
2026-09-01,13,10.0,OES
2026-09-01,14,10.0,OES
2026-09-01,15,10.0,OES
2026-09-01,16,11.0,OES
2026-09-01,17,3000.0,OES
2026-09-01,18,6889.0,OES
2026-09-01,19,9427.0,OES
2026-09-01,20,12373.0,OES
2026-09-01,21,12800.0,OES
2026-09-01,22,12888.0,OES
2026-09-01,23,9800.0,OES
2026-09-01,24,6900.0,OES
2026-09-02,1,6350.0,OES
2026-09-02,2,5667.67,OES
2026-09-02,3,3500.0,OES
2026-09-02,4,3700.0,OES
2026-09-02,5,3500.0,OES
2026-09-02,6,3500.0,OES
2026-09-02,7,5700.0,OES
2026-09-02,8,6300.0,OES
2026-09-02,9,5700.0,OES
2026-09-02,10,3889.0,OES
2026-09-02,11,378.0,OES
2026-09-02,12,10.0,OES
2026-09-02,13,10.0,OES
2026-09-02,14,10.0,OES
2026-09-02,15,10.0,OES
2026-09-02,16,2555.0,OES
2026-09-02,17,3000.0,OES
2026-09-02,18,6000.0,OES
2026-09-02,19,8700.0,OES
2026-09-02,20,12500.0,OES
2026-09-02,21,12721.0,OES
2026-09-02,22,11549.77,OES
2026-09-02,23,9800.0,OES
2026-09-02,24,8500.0,OES
2026-09-03,1,14974.67,OES
2026-09-03,2,9208.44,OES
2026-09-03,3,7500.0,OES
2026-09-03,4,8400.0,OES
2026-09-03,5,8327.0,OES
2026-09-03,6,8202.8,OES
2026-09-03,7,8881.0,OES
2026-09-03,8,10264.0,OES
2026-09-03,9,9931.1,OES
2026-09-03,10,6300.0,OES
2026-09-03,11,3500.0,OES
2026-09-03,12,1155.0,OES
2026-09-03,13,1155.0,OES
2026-09-03,14,2678.0,OES
2026-09-03,15,3500.0,OES
2026-09-03,16,4985.0,OES
2026-09-03,17,7000.0,OES
2026-09-03,18,9164.0,OES
2026-09-03,19,12965.1,OES
2026-09-03,20,14878.0,OES
2026-09-03,21,14975.73,OES
2026-09-03,22,14663.03,OES
2026-09-03,23,12369.43,OES
2026-09-03,24,11999.0,OES
2026-09-04,1,7000.0,OES
2026-09-04,2,8510.0,OES
2026-09-04,3,6851.0,OES
2026-09-04,4,6600.0,OES
2026-09-04,5,6300.0,OES
2026-09-04,6,6300.0,OES
2026-09-04,7,7000.0,OES
2026-09-04,8,9000.0,OES
2026-09-04,9,6300.0,OES
2026-09-04,10,2490.0,OES
2026-09-04,11,1888.0,OES
2026-09-04,12,1115.0,OES
2026-09-04,13,500.0,OES
2026-09-04,14,548.0,OES
2026-09-04,15,866.0,OES
2026-09-04,16,1408.83,OES
2026-09-04,17,1500.0,OES
2026-09-04,18,5470.0,OES
2026-09-04,19,7500.0,OES
2026-09-04,20,8000.0,OES
2026-09-04,21,7200.0,OES
2026-09-04,22,7000.0,OES
2026-09-04,23,5000.0,OES
