ts,load_kw,pv_kw
2026-03-01T00:00:00Z,224.50,0.00
2026-03-01T00:15:00Z,221.80,0.00
2026-03-01T00:30:00Z,218.40,0.00
2026-03-01T00:45:00Z,220.10,0.00
2026-03-01T01:00:00Z,219.00,0.00
2026-03-01T01:15:00Z,222.30,0.00
2026-03-01T01:30:00Z,217.90,0.00
2026-03-01T01:45:00Z,225.10,0.00
2026-03-01T02:00:00Z,220.60,0.00
2026-03-01T02:15:00Z,218.00,0.00
2026-03-01T02:30:00Z,221.40,0.00
2026-03-01T02:45:00Z,223.70,0.00
2026-03-01T03:00:00Z,219.80,0.00
2026-03-01T03:15:00Z,217.20,0.00
2026-03-01T03:30:00Z,224.00,0.00
2026-03-01T03:45:00Z,226.50,0.00
2026-03-01T04:00:00Z,228.30,0.00
2026-03-01T04:15:00Z,235.10,0.00
2026-03-01T04:30:00Z,242.00,0.00
2026-03-01T04:45:00Z,250.60,0.00
2026-03-01T05:00:00Z,265.00,0.00
2026-03-01T05:15:00Z,280.40,0.00
2026-03-01T05:30:00Z,310.20,0.00
2026-03-01T05:45:00Z,345.80,0.00
2026-03-01T06:00:00Z,382.50,0.00
2026-03-01T06:15:00Z,395.10,0.00
2026-03-01T06:30:00Z,410.00,0.00
2026-03-01T06:45:00Z,435.60,0.00
2026-03-01T07:00:00Z,480.20,5.20
2026-03-01T07:15:00Z,510.50,15.80
2026-03-01T07:30:00Z,535.00,32.40
2026-03-01T07:45:00Z,560.80,52.10
2026-03-01T08:00:00Z,578.40,75.60
2026-03-01T08:15:00Z,585.00,98.20
2026-03-01T08:30:00Z,590.20,118.50
2026-03-01T08:45:00Z,582.10,135.00
2026-03-01T09:00:00Z,595.60,152.40
2026-03-01T09:15:00Z,588.00,165.20
2026-03-01T09:30:00Z,579.50,174.80
2026-03-01T09:45:00Z,584.20,181.00
2026-03-01T10:00:00Z,592.00,188.50
2026-03-01T10:15:00Z,590.10,192.40
2026-03-01T10:30:00Z,585.30,195.00
2026-03-01T10:45:00Z,580.00,196.20
2026-03-01T11:00:00Z,575.40,198.00
2026-03-01T11:15:00Z,582.20,199.10
2026-03-01T11:30:00Z,591.00,200.00
2026-03-01T11:45:00Z,588.40,198.50
2026-03-01T12:00:00Z,582.00,197.00
2026-03-01T12:15:00Z,570.50,194.20
2026-03-01T12:30:00Z,565.00,189.50
2026-03-01T12:45:00Z,574.10,182.10
2026-03-01T13:00:00Z,580.60,175.40
2026-03-01T13:15:00Z,586.20,165.00
2026-03-01T13:30:00Z,583.00,152.80
2026-03-01T13:45:00Z,579.40,138.20
2026-03-01T14:00:00Z,585.00,121.50
2026-03-01T14:15:00Z,582.30,102.40
2026-03-01T14:30:00Z,578.10,81.60
2026-03-01T14:45:00Z,570.00,60.20
2026-03-01T15:00:00Z,562.50,42.00
2026-03-01T15:15:00Z,554.00,25.40
2026-03-01T15:30:00Z,545.20,12.80
2026-03-01T15:45:00Z,538.00,4.50
2026-03-01T16:00:00Z,520.10,0.00
2026-03-01T16:15:00Z,502.40,0.00
2026-03-01T16:30:00Z,485.00,0.00
2026-03-01T16:45:00Z,460.20,0.00
2026-03-01T17:00:00Z,430.50,0.00
2026-03-01T17:15:00Z,412.00,0.00
2026-03-01T17:30:00Z,395.40,0.00
2026-03-01T17:45:00Z,380.00,0.00
2026-03-01T18:00:00Z,365.20,0.00
2026-03-01T18:15:00Z,350.00,0.00
2026-03-01T18:30:00Z,338.40,0.00
2026-03-01T18:45:00Z,325.10,0.00
2026-03-01T19:00:00Z,310.00,0.00
2026-03-01T19:15:00Z,298.50,0.00
2026-03-01T19:30:00Z,285.00,0.00
2026-03-01T19:45:00Z,272.30,0.00
2026-03-01T20:00:00Z,260.00,0.00
2026-03-01T20:15:00Z,252.10,0.00
2026-03-01T20:30:00Z,245.00,0.00
2026-03-01T20:45:00Z,238.20,0.00
2026-03-01T21:00:00Z,235.00,0.00
2026-03-01T21:15:00Z,230.40,0.00
2026-03-01T21:30:00Z,228.10,0.00
2026-03-01T21:45:00Z,225.00,0.00
2026-03-01T22:00:00Z,224.00,0.00
2026-03-01T22:15:00Z,222.50,0.00
2026-03-01T22:30:00Z,220.00,0.00
2026-03-01T22:45:00Z,219.20,0.00
2026-03-01T23:00:00Z,218.00,0.00
2026-03-01T23:15:00Z,216.50,0.00
2026-03-01T23:30:00Z,215.00,0.00
2026-03-01T23:45:00Z,214.20,0.00
