ts,temp_c,cloud_cover,wind_speed_ms
2026-03-01T00:00:00Z,3.2,0.65,3.8
2026-03-01T01:00:00Z,2.8,0.70,3.5
2026-03-01T02:00:00Z,2.4,0.60,3.2
2026-03-01T03:00:00Z,2.0,0.55,3.0
2026-03-01T04:00:00Z,1.8,0.50,2.8
2026-03-01T05:00:00Z,1.6,0.45,2.9
2026-03-01T06:00:00Z,2.1,0.40,3.1
2026-03-01T07:00:00Z,3.5,0.35,3.4
2026-03-01T08:00:00Z,5.2,0.30,3.6
2026-03-01T09:00:00Z,6.8,0.25,3.8
2026-03-01T10:00:00Z,8.4,0.20,4.0
2026-03-01T11:00:00Z,9.5,0.20,4.2
2026-03-01T12:00:00Z,10.2,0.15,4.3
2026-03-01T13:00:00Z,10.8,0.15,4.1
2026-03-01T14:00:00Z,11.0,0.20,4.0
2026-03-01T15:00:00Z,10.4,0.25,3.9
2026-03-01T16:00:00Z,9.1,0.30,3.7
2026-03-01T17:00:00Z,7.6,0.35,3.5
2026-03-01T18:00:00Z,6.2,0.40,3.4
2026-03-01T19:00:00Z,5.4,0.45,3.3
2026-03-01T20:00:00Z,4.8,0.50,3.2
2026-03-01T21:00:00Z,4.2,0.55,3.1
2026-03-01T22:00:00Z,3.9,0.60,3.0
2026-03-01T23:00:00Z,3.5,0.65,3.2
2026-03-02T00:00:00Z,3.1,0.70,3.4
2026-03-02T01:00:00Z,2.7,0.75,3.2
2026-03-02T02:00:00Z,2.3,0.70,3.0
2026-03-02T03:00:00Z,1.9,0.65,2.9
2026-03-02T04:00:00Z,1.7,0.60,2.8
2026-03-02T05:00:00Z,1.5,0.55,2.7
2026-03-02T06:00:00Z,2.0,0.50,3.0
2026-03-02T07:00:00Z,3.4,0.45,3.3
2026-03-02T08:00:00Z,5.0,0.40,3.5
2026-03-02T09:00:00Z,6.5,0.35,3.7
2026-03-02T10:00:00Z,8.0,0.30,3.9
2026-03-02T11:00:00Z,9.1,0.25,4.0
2026-03-02T12:00:00Z,9.8,0.20,4.2
2026-03-02T13:00:00Z,10.3,0.20,4.1
2026-03-02T14:00:00Z,10.5,0.25,3.9
2026-03-02T15:00:00Z,9.9,0.30,3.8
2026-03-02T16:00:00Z,8.7,0.35,3.6
2026-03-02T17:00:00Z,7.2,0.40,3.4
2026-03-02T18:00:00Z,5.9,0.45,3.3
2026-03-02T19:00:00Z,5.1,0.50,3.2
2026-03-02T20:00:00Z,4.5,0.55,3.1
2026-03-02T21:00:00Z,4.0,0.60,3.0
2026-03-02T22:00:00Z,3.6,0.65,3.1
2026-03-02T23:00:00Z,3.2,0.70,3.3
