date,hour,price_uah_mwh,zone
2026-03-01,1,3200.00,OES
2026-03-01,2,3100.00,OES
2026-03-01,3,2950.00,OES
2026-03-01,4,2900.00,OES
2026-03-01,5,3050.00,OES
2026-03-01,6,3400.00,OES
2026-03-01,7,4200.00,OES
2026-03-01,8,5500.00,OES
2026-03-01,9,5900.00,OES
2026-03-01,10,5400.00,OES
2026-03-01,11,4800.00,OES
2026-03-01,12,4300.00,OES
2026-03-01,13,3900.00,OES
2026-03-01,14,3700.00,OES
2026-03-01,15,4100.00,OES
2026-03-01,16,4600.00,OES
2026-03-01,17,5600.00,OES
2026-03-01,18,6800.00,OES
2026-03-01,19,7200.00,OES
2026-03-01,20,6900.00,OES
2026-03-01,21,5800.00,OES
2026-03-01,22,4600.00,OES
2026-03-01,23,3800.00,OES
2026-03-01,24,3300.00,OES
2026-03-02,1,3150.00,OES
2026-03-02,2,3050.00,OES
2026-03-02,3,2900.00,OES
2026-03-02,4,2850.00,OES
2026-03-02,5,3000.00,OES
2026-03-02,6,3350.00,OES
2026-03-02,7,4150.00,OES
2026-03-02,8,5600.00,OES
2026-03-02,9,6100.00,OES
2026-03-02,10,5500.00,OES
2026-03-02,11,4900.00,OES
2026-03-02,12,4400.00,OES
2026-03-02,13,4000.00,OES
2026-03-02,14,3800.00,OES
2026-03-02,15,4200.00,OES
2026-03-02,16,4700.00,OES
2026-03-02,17,5700.00,OES
2026-03-02,18,6900.00,OES
2026-03-02,19,7400.00,OES
2026-03-02,20,7000.00,OES
2026-03-02,21,5900.00,OES
2026-03-02,22,4700.00,OES
2026-03-02,23,3900.00,OES
2026-03-02,24,3350.00,OES
